Subject,Experience_Sampling_Questions_Response_Time,GoNoGo_Task_Response_Time,Go_Task_Accuracy,NoGo_Task_Accuracy,Finger_Tapping_Task_Response_Time,Finger_Tapping_Task_Accuracy,Two-Back_Task-faces_Response_Time,Two-Back_Task-faces_Accuracy,Two-Back_Task-scenes_Response_Time,Two-Back_Task-scenes_Accuracy,One-Back_Task_Response_Time,One-Back_Task_Accuracy,Zero-Back_Task_Response_Time,Zero-Back_Task_Accuracy,Hard_Math_Task_Response_Time,Hard_Math_Task_Accuracy,Easy_Math_Task_Response_Time,Easy_Math_Task_Accuracy,Friend_Task_Response_Time,Friend_Task_Sentiment,You_Task_Response_Time,You_Task_Sentiment
subject_137,3.901015773,1.030104483,0.526315789,0.631578947,0.267479436,1,1.628778826,0.333333333,1.258903305,0.615384615,1.688669718,0.818181818,0.9661781,0.909090909,2.245838466,0.981132075,1.873737731,1,1.341688929,0.80952379,1.306384076,0.810344814
subject_138,3.244914252,1.030889287,1,0.047169811,0.5813804,1,1.019923711,0.803571429,1.196410069,0.666666667,2.085519937,0.625,0.931527377,1,2.173400087,0.933333333,1.956619563,1,1.420477062,0.874999978,1.187900855,0.828124987
subject_139,4.238736219,1.042966693,0.888888889,0.842592593,0.417574191,1,0.928461174,0.925925926,1.007232415,0.890909091,1.156324389,1,0.786052073,1,2.137804285,0.807692308,1.953023324,0.962962963,0.985807919,0.906976723,1.658499304,0.627450968
subject_14,4.649299632,1.030768151,0.8,0.241071429,0.389821714,1,0.929940239,0.882352941,1.279410451,0.674418605,1.00346982,1,0.767334364,1,3.676504124,0.694444444,2.057930697,0.984615385,1.747840905,0.761904744,1.659960466,0.759999985
subject_140,3.359313661,1.00088195,0.384615385,0.816513761,0.429237608,1,0.719954576,0.907407407,1.220471744,0.644444444,1.790732386,0.857142857,1.215076347,1,2.459712327,0.823529412,2.00160889,0.983333333,1.450067218,0.727272711,0.925344799,0.731343273
subject_141,4.002894105,1.027245734,0.941176471,0.891666667,0.367869104,1,0.839603631,0.913793103,0.921868088,0.975609756,0.60738029,0.3,0.593862345,1,1.962672647,0.879310345,1.905131315,1,1.489862542,0.711111095,1.293261869,0.838709664
subject_141,5.628323889,1.008650166,0.947368421,0.86,0.44439083,1,1.110325957,0.862745098,1.31892413,0.795454545,1.362763382,1,0.683964882,1,3.063520546,0.68,2.034941154,0.95,1.351469105,0.804878029,1.173382735,0.824561389
subject_143,4.327896079,1.003364596,1,0.637362637,0.351896441,1,0.953965541,0.836734694,1.158752271,0.738095238,1.082374,0.909090909,0.561068955,1,2.610275185,0.895833333,1.914851307,1,1.205458096,0.795918351,1.252829048,0.660714274
subject_144,3.855345513,1.026712462,0.923076923,0.885964912,0.45409055,1,1.041211832,0.84,1.228715949,0.836734694,1.127091625,1,0.60021695,1,3.031154672,0.921052632,2.025520572,1,1.209894593,0.813953469,1.24581921,0.775862056
subject_145,4.279085826,1.035731428,0.846153846,0.85483871,0.473515833,1,1.304857436,0.590909091,1.090834008,0.903846154,1.570374142,0.833333333,2.230002438,0.75,2.602794778,0.64,2.033258929,0.965517241,2.204366597,0.76470586,1.745940006,0.583333321
