Task_name,Id_number,Runtime_mod,Absorption_response,Other_response,Problem_response,Words_response,Sounds_response,Images_response,Past_response,Distracting_response,Focus_response,Intrusive_response,Deliberate_response,Detailed_response,Future_response,Emotion_response,Self_response,Knowledge_response,Gradient_1,Gradient_2,Gradient_3,Gradient_4,Gradient_5
Easy_Math_Task,subject_4,-8,2.0,2.0,8.0,4.0,7.0,4.0,8.0,9.0,3.0,3.0,3.0,5.0,3.0,6.0,9.0,10.0,0.019598666,0.159960465,-0.014416948,-0.077514379,-0.048953364
Hard_Math_Task,subject_4,-12,3.0,3.0,3.3999999999999986,6.0,1.0,5.6999999999999975,1.7000000000000117,1.2000000000000117,5.6999999999999975,3.0,10.0,10.0,1.0,8.0,9.799999999999997,2.5999999999999996,-0.078457467,0.308141529,0.225440393,-0.100786219,-0.159113885
Hard_Math_Task,subject_4,5,1.0,3.0,4.500000000000007,1.0,1.0,9.0,1.0,1.0,2.100000000000015,1.0,10.0,1.0,1.0,5.5,8.599999999999987,5.400000000000013,-0.078457467,0.308141529,0.225440393,-0.100786219,-0.159113885
Hard_Math_Task,subject_4,-5,5.0,10.0,3.0,7.0,10.0,3.0,2.0,8.0,5.0,10.0,4.0,9.0,6.0,6.0,4.0,5.0,-0.078457467,0.308141529,0.225440393,-0.100786219,-0.159113885
Finger_Tapping_Task,subject_4,13,1.0,6.0,1.0,1.0,1.0,6.0,1.0,1.0,1.4999999999999984,1.0,1.0,1.0,1.0,1.600000000000008,1.0,1.0000000000000118,-0.051850101,-0.118496874,0.105241372,-0.085116874,0.154315156
Finger_Tapping_Task,subject_4,11,6.0,4.0,7.0,3.0,6.0,4.0,2.0,9.0,9.0,6.0,3.0,6.0,9.0,10.0,10.0,5.0,-0.051850101,-0.118496874,0.105241372,-0.085116874,0.154315156
Finger_Tapping_Task,subject_4,11,10.0,8.0,4.0,6.0,6.0,3.0,9.0,4.0,9.0,2.0,3.0,3.0,6.0,10.0,6.0,4.0,-0.051850101,-0.118496874,0.105241372,-0.085116874,0.154315156
GoNoGo_Task,subject_4,5,2.0,9.0,3.0,3.0,7.0,9.0,3.0,6.0,2.0,8.0,3.0,3.0,3.0,2.0,6.0,2.0,-0.169817561,0.05201047,0.031002936,-0.147224689,-0.111588999
GoNoGo_Task,subject_4,-12,6.0,5.0,5.0,9.0,7.0,6.0,5.0,9.0,4.0,5.0,6.0,8.0,4.0,4.0,10.0,8.0,-0.169817561,0.05201047,0.031002936,-0.147224689,-0.111588999
GoNoGo_Task,subject_4,-5,9.0,2.0,8.0,5.0,3.0,9.0,3.0,3.0,8.0,3.0,3.0,6.0,9.0,2.0,6.0,9.0,-0.169817561,0.05201047,0.031002936,-0.147224689,-0.111588999
